## STRATEGY: exact
## SKIPPED: ['has_low_plasma_membrane_amount', 'has_relational_adjective', 'has_high_plasma_membrane_amount', 'has_completed', 'has_not_completed', 'seeAlso', 'lacks_part', 'lacks_plasma_membrane_part', 'immediate_transformation_of']
true_positive	11532192	1861	1882	retinal ganglion cell	cl	CL:0000740	retinal ganglion cell (,{gangliocyte, ganglion cell of retina, RGC})
true_positive	11532192	5757	5768	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	11532192	5795	5800	cells	cl	CL:0000000	cell (,)
true_positive	11532192	5939	5944	cells	cl	CL:0000000	cell (,)
true_positive	11532192	30902	30907	cells	cl	CL:0000000	cell (,)
true_positive	11597317	1000	1005	Cells	cl	CL:0000000	cell (,)
true_positive	11597317	1054	1059	cells	cl	CL:0000000	cell (,)
true_positive	11597317	1910	1914	Cell	cl	CL:0000000	cell (,)
true_positive	11597317	2041	2045	cell	cl	CL:0000000	cell (,)
true_positive	11597317	2408	2413	Cells	cl	CL:0000000	cell (,)
true_positive	11597317	2980	2985	cells	cl	CL:0000000	cell (,)
true_positive	11597317	3230	3235	cells	cl	CL:0000000	cell (,)
true_positive	11597317	4115	4119	cell	cl	CL:0000000	cell (,)
true_positive	11597317	4261	4266	cells	cl	CL:0000000	cell (,)
true_positive	11597317	4441	4446	cells	cl	CL:0000000	cell (,)
true_positive	11597317	4520	4524	cell	cl	CL:0000000	cell (,)
true_positive	11597317	4547	4552	cells	cl	CL:0000000	cell (,)
true_positive	11597317	4818	4822	cell	cl	CL:0000000	cell (,)
true_positive	11597317	4920	4925	cells	cl	CL:0000000	cell (,)
true_positive	11597317	5321	5326	cells	cl	CL:0000000	cell (,)
true_positive	11597317	5436	5440	cell	cl	CL:0000000	cell (,)
true_positive	11597317	5577	5582	cells	cl	CL:0000000	cell (,)
true_positive	11597317	6209	6214	cells	cl	CL:0000000	cell (,)
true_positive	11597317	6337	6341	cell	cl	CL:0000000	cell (,)
true_positive	11597317	6733	6738	cells	cl	CL:0000000	cell (,)
true_positive	11597317	7543	7548	cells	cl	CL:0000000	cell (,)
true_positive	11597317	7582	7587	cells	cl	CL:0000000	cell (,)
true_positive	11597317	7677	7682	cells	cl	CL:0000000	cell (,)
true_positive	11597317	8506	8511	cells	cl	CL:0000000	cell (,)
true_positive	11597317	8671	8676	cells	cl	CL:0000000	cell (,)
true_positive	11597317	8835	8840	cells	cl	CL:0000000	cell (,)
true_positive	11597317	13982	13986	cell	cl	CL:0000000	cell (,)
true_positive	11597317	14271	14276	cells	cl	CL:0000000	cell (,)
true_positive	11897010	13135	13150	oligodendrocyte	cl	CL:0000128	oligodendrocyte (,)
true_positive	12079497	19914	19919	cells	cl	CL:0000000	cell (,)
true_positive	12079497	7794	7799	cells	cl	CL:0000000	cell (,)
true_positive	12079497	7755	7760	cells	cl	CL:0000000	cell (,)
true_positive	12079497	7707	7712	cells	cl	CL:0000000	cell (,)
true_positive	12079497	7665	7670	cells	cl	CL:0000000	cell (,)
true_positive	12079497	10	20	stem cells	cl	CL:0000034	stem cell (,)
true_positive	12079497	1736	1741	cells	cl	CL:0000000	cell (,)
true_positive	12079497	2041	2046	cells	cl	CL:0000000	cell (,)
true_positive	12079497	3746	3750	cell	cl	CL:0000000	cell (,)
true_positive	12079497	3820	3825	cells	cl	CL:0000000	cell (,)
true_positive	12079497	5385	5390	cells	cl	CL:0000000	cell (,)
true_positive	12079497	5919	5924	Cells	cl	CL:0000000	cell (,)
true_positive	12079497	6579	6584	cells	cl	CL:0000000	cell (,)
true_positive	12079497	11129	11134	Cells	cl	CL:0000000	cell (,)
true_positive	12079497	12785	12790	cells	cl	CL:0000000	cell (,)
true_positive	12079497	13355	13366	blastomeres	cl	CL:0000353	blastoderm cell (,blastomere)
true_positive	12079497	13678	13683	cells	cl	CL:0000000	cell (,)
true_positive	12079497	14370	14375	cells	cl	CL:0000000	cell (,)
true_positive	12079497	14902	14907	cells	cl	CL:0000000	cell (,)
true_positive	12079497	16431	16435	cell	cl	CL:0000000	cell (,)
true_positive	12079497	17486	17491	cells	cl	CL:0000000	cell (,)
true_positive	12079497	19118	19134	eukaryotic cells	cl	CL:0000255	eukaryotic cell (,)
true_positive	12079497	20161	20166	cells	cl	CL:0000000	cell (,)
true_positive	12079497	1252	1257	cells	cl	CL:0000000	cell (,)
true_positive	12079497	1682	1687	cells	cl	CL:0000000	cell (,)
true_positive	12079497	1984	1989	cells	cl	CL:0000000	cell (,)
true_positive	12079497	2407	2412	cells	cl	CL:0000000	cell (,)
true_positive	12079497	4340	4344	cell	cl	CL:0000000	cell (,)
true_positive	12079497	5563	5568	cells	cl	CL:0000000	cell (,)
true_positive	12079497	5723	5727	cell	cl	CL:0000000	cell (,)
true_positive	12079497	5792	5797	cells	cl	CL:0000000	cell (,)
true_positive	12079497	6353	6357	cell	cl	CL:0000000	cell (,)
true_positive	12079497	6972	6977	cells	cl	CL:0000000	cell (,)
true_positive	12079497	7135	7140	cells	cl	CL:0000000	cell (,)
true_positive	12079497	7316	7321	cells	cl	CL:0000000	cell (,)
true_positive	12079497	7383	7388	cells	cl	CL:0000000	cell (,)
true_positive	12079497	7935	7939	cell	cl	CL:0000000	cell (,)
true_positive	12079497	7994	7998	cell	cl	CL:0000000	cell (,)
true_positive	12079497	11259	11263	cell	cl	CL:0000000	cell (,)
true_positive	12079497	11293	11297	cell	cl	CL:0000000	cell (,)
true_positive	12079497	12008	12013	cells	cl	CL:0000000	cell (,)
true_positive	12079497	12554	12559	cells	cl	CL:0000000	cell (,)
true_positive	12079497	13541	13546	cells	cl	CL:0000000	cell (,)
true_positive	12079497	15844	15849	cells	cl	CL:0000000	cell (,)
true_positive	12079497	16079	16084	cells	cl	CL:0000000	cell (,)
true_positive	12079497	16854	16859	cells	cl	CL:0000000	cell (,)
true_positive	12079497	19208	19213	cells	cl	CL:0000000	cell (,)
true_positive	12079497	19644	19649	cells	cl	CL:0000000	cell (,)
true_positive	12079497	19706	19711	cells	cl	CL:0000000	cell (,)
true_positive	12079497	20497	20501	cell	cl	CL:0000000	cell (,)
true_positive	12079497	20771	20775	cell	cl	CL:0000000	cell (,)
true_positive	12079497	10871	10875	cell	cl	CL:0000000	cell (,)
true_positive	12546709	1061	1066	cells	cl	CL:0000000	cell (,)
true_positive	12546709	1566	1570	cell	cl	CL:0000000	cell (,)
true_positive	12546709	1878	1883	cells	cl	CL:0000000	cell (,)
true_positive	12546709	2252	2268	epithelial cells	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	2294	2299	cells	cl	CL:0000000	cell (,)
true_positive	12546709	2536	2541	cells	cl	CL:0000000	cell (,)
true_positive	12546709	4148	4164	epithelial cells	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	4766	4771	cells	cl	CL:0000000	cell (,)
true_positive	12546709	4992	5008	epithelial cells	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	5190	5205	epithelial cell	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	6111	6116	cells	cl	CL:0000000	cell (,)
true_positive	12546709	6325	6336	muscle cell	cl	CL:0000187	muscle cell (,myocyte)
